t,x,y
2.585916667E0,-1.384495965E-3,-8.223601816E-2
2.602600000E0,-2.289832649E-4,-8.225661947E-2
2.619283333E0,1.187139854E-3,-8.226654879E-2
2.635966667E0,2.656451434E-3,-8.224953429E-2
2.652650000E0,3.982413491E-3,-8.225460089E-2
2.669333333E0,4.965233623E-3,-8.223787842E-2
2.686016667E0,5.551588190E-3,-8.223573643E-2
2.702700000E0,5.684964683E-3,-8.224323811E-2
2.719383333E0,5.369428631E-3,-8.223678605E-2
2.736066667E0,4.624477536E-3,-8.224622366E-2
2.752750000E0,3.581109296E-3,-8.224173621E-2
2.769433333E0,2.458846827E-3,-8.224423443E-2
2.786116667E0,1.311493941E-3,-8.225209813E-2
2.802800000E0,3.523352222E-4,-8.223213188E-2
2.819483333E0,-3.029869874E-4,-8.223267853E-2
2.836166667E0,-6.030757327E-4,-8.222963916E-2
2.852850000E0,-4.932214115E-4,-8.224072531E-2
2.869533333E0,-1.597149093E-5,-8.223148192E-2
2.886216667E0,7.147302059E-4,-8.225658267E-2
2.902900000E0,1.662381905E-3,-8.224702815E-2
2.919583333E0,2.612535169E-3,-8.224432155E-2
2.936266667E0,3.466225139E-3,-8.223020371E-2
2.952950000E0,4.129348702E-3,-8.224397217E-2
2.969633333E0,4.487306825E-3,-8.223419000E-2
2.986316667E0,4.530824095E-3,-8.223024320E-2
3.003000000E0,4.317894368E-3,-8.224096854E-2
3.019683333E0,3.829114203E-3,-8.224617164E-2
3.036366667E0,3.156092437E-3,-8.222944167E-2
3.053050000E0,2.375563603E-3,-8.223437212E-2
3.069733333E0,1.648904880E-3,-8.224868937E-2
3.086416667E0,1.071811813E-3,-8.223840983E-2
3.103100000E0,6.799128345E-4,-8.222069034E-2
3.119783333E0,5.073996332E-4,-8.221936213E-2
3.136466667E0,6.246597055E-4,-8.223684545E-2
3.153150000E0,9.755423098E-4,-8.220954230E-2
3.169833333E0,1.525926379E-3,-8.223756828E-2
3.186516667E0,2.148990693E-3,-8.224215470E-2
3.203200000E0,2.772123496E-3,-8.224012690E-2
3.219883333E0,3.275786463E-3,-8.222763043E-2
3.236566667E0,3.666080358E-3,-8.224167058E-2
3.253250000E0,3.854965618E-3,-8.223445375E-2
3.269933333E0,3.822196989E-3,-8.224007975E-2
3.286616667E0,3.565405363E-3,-8.223274670E-2
3.303300000E0,3.223727886E-3,-8.223634085E-2
3.319983333E0,2.752304964E-3,-8.224255261E-2
3.336666667E0,2.250091757E-3,-8.224342263E-2
3.353350000E0,1.833125010E-3,-8.223669045E-2
3.370033333E0,1.510503301E-3,-8.223543059E-2
3.386716667E0,1.351936934E-3,-8.223569023E-2
3.403400000E0,1.364059209E-3,-8.224148344E-2
3.420083333E0,1.537917271E-3,-8.224000450E-2
3.436766667E0,1.850097450E-3,-8.223372458E-2
3.453450000E0,2.230079681E-3,-8.222080356E-2
3.470133333E0,2.628814164E-3,-8.223436475E-2
3.486816667E0,3.031296345E-3,-8.223755835E-2
3.503500000E0,3.340917505E-3,-8.223971630E-2
3.520183333E0,3.498619252E-3,-8.223416010E-2
3.536866667E0,3.536795743E-3,-8.223206847E-2
3.553550000E0,3.399424621E-3,-8.223664318E-2
3.570233333E0,3.199767645E-3,-8.223647331E-2
3.586916667E0,2.904802142E-3,-8.223644002E-2
3.603600000E0,2.581863642E-3,-8.223623594E-2
3.620283333E0,2.288333395E-3,-8.223348942E-2
3.636966667E0,2.025723102E-3,-8.223503531E-2
3.653650000E0,1.907566598E-3,-8.223345905E-2
3.670333333E0,1.858224884E-3,-8.223810762E-2
3.687016667E0,1.987156353E-3,-8.223625169E-2
3.703700000E0,2.167821845E-3,-8.223498645E-2
